Estados;Populacao estimada;Densidade demografica_2010;IDH _2010;Receitas realizadas _2017;Rendimento mensal domiciliar per capita_2019
AC;881935;4.47;0.663;6632883.108;890
AL;3337357;112.33;0.631;11950438.46;731
AM;4144597;2.23;0.674;17328459.43;842
AP;845731;4.69;0.708;5396417.145;880
BA;14873064;24.82;0.66;50191003.24;913
CE;9132078;56.76;0.682;28420222.47;942
DF;3015268;444.66;0.824;23812211.27;2686
ES;4018650;76.25;0.74;19685616.74;1477
GO;7018354;17.65;0.735;37885335.17;1306
MA;7075181;19.81;0.639;18503261.35;636
MG;21168791;33.41;0.731;97199823.16;1358
MS;2778986;6.86;0.729;16396655.77;1514
MT;3484466;3.36;0.725;23958528.84;1403
PA;8602865;6.07;0.646;25849446.1;807
PB;4018127;66.7;0.658;13097005.32;929
PE;9557071;89.62;0.673;35746028.97;970
PI;3273227;12.4;0.646;12124215.62;827
PR;11433957;52.4;0.749;60163576.12;1621
RJ;17264943;365.23;0.761;78488140.79;1882
RN;3506853;59.99;0.684;13527552.73;1057
RO;1777225;6.58;0.69;9122310.723;1136
RR;605761;2.01;0.707;4419450.416;1044
RS;11377239;37.96;0.746;66397468.18;1843
SC;7164788;65.27;0.774;34696772.82;1769
SE;2298696;94.36;0.665;10145046.95;980
SP;45919049;166.23;0.783;232822496.6;1946
TO;1572866;4.98;0.699;10305099.01;1056
